Qualification Title,Awarding Body,GLH,Size band,Grade,Grade Band,TARIFF POINTS,Qualification offered in,Qualification Type,Awarding Body full title
 Pearson BTEC Level 3 National Extended Diploma (first teaching from September 2016),Pearson,1080,(4+4+4),MMM,"(8,8,8)",96,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Level 3 National Extended Diploma (first teaching from September 2016),Pearson,1080,(4+4+4),MMP,"(8,8,4)",80,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Level 3 National Extended Diploma (first teaching from September 2016),Pearson,1080,(4+4+4),MPP,(8.4.4),64,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Level 3 National Extended Diploma (first teaching from September 2016),Pearson,1080,(4+4+4),PPP,"(4,4,4)",48,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Level 3 National Foundation Diploma (first teaching from September 2016),Pearson,510-540,(3+3),D*,"(14,14)",84,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Level 3 National Foundation Diploma (first teaching from September 2016),Pearson,510-540,(3+3),D,"(12,12)",72,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Level 3 National Foundation Diploma (first teaching from September 2016),Pearson,510-540,(3+3),M,"(8,8)",48,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Level 3 National Foundation Diploma (first teaching from September 2016),Pearson,510-540,(3+3),P,"(4,4)",24,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Subsidiary Diploma (QCF),Pearson,360,4,D*,14,56,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Subsidiary Diploma (QCF),Pearson,360,4,D,12,48,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Subsidiary Diploma (QCF),Pearson,360,4,M,8,32,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 Pearson BTEC Subsidiary Diploma (QCF),Pearson,360,4,P,4,16,Multiple UK nations,Qualification Type unavailable,Pearson Education Ltd
 T level,Various,1000+,(4+4+4),D*,14,168,England only,Qualification Type unavailable,Various
 T level,Various,1000+,(4+4+4),D,12,144,England only,Qualification Type unavailable,Various
 T level,Various,1000+,(4+4+4),M,10,120,England only,Qualification Type unavailable,Various
 T level,Various,1000+,(4+4+4),P (A*-C),8,96,England only,Qualification Type unavailable,Various
 T level,Various,1000+,(4+4+4),P (D or E),6,72,England only,Qualification Type unavailable,Various
" Welsh Baccalaureate Advanced Diploma – Core (awarded until 2016)
ESW/KS Combined component",WJEC,180,2,P,6,12,Wales only,Qualification Type unavailable,WJEC - CBAC
 WEW/PSE/WRE/II component,WJEC,350,4,P,9,36,Wales only,Qualification Type unavailable,WJEC - CBAC
Welsh Baccalaureate Advanced Diploma - Total Points,WJEC,530,6,P,8,48,Wales only,Qualification Type unavailable,WJEC - CBAC
