course_code,full_title,type,info,url
UDMUSPRO,BSc Music Technology and Production,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDMUSPRO/BSc-Music-Technology-and-Production/
UDNSBIOL,BSc Natural Sciences (Biology),Undergraduate,,
UDNSCBFY,BSc (Hons) Natural Sciences (Biology) (including foundation year),Undergraduate,,
UDNURSAD,BSc (Hons) Nursing (Adult),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDNURSAD/BSc-(Hons)-Nursing-(Adult)/
UDPDFDFY,BA (Hons) Product and Furniture Design (including foundation y...,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPDFDFY/BA-(Hons)-Product-and-Furniture-Design-(including-foundation-year)/
UDPHARFY,BSc (Hons) Pharmacology (including foundation year),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPHARFY/BSc-(Hons)-Pharmacology-(including-foundation-year)/
UDPHARMA,BSc Pharmacology,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPHARMA/BSc-Pharmacology/
UDPHASCA,MSci Pharmaceutical Science,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPHASCA/MSci-Pharmaceutical-Science/
UDPHMSCI,BSc Pharmaceutical Science,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPHMSCI/BSc-Pharmaceutical-Science/
UDPHMSFY,BSc (Hons) Pharmaceutical Science (including foundation year),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPHMSFY/BSc-(Hons)-Pharmaceutical-Science-(including-foundation-year)/
UDPHOTFY,BA (Hons) Photography (including foundation year),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPHOTFY/BA-(Hons)-Photography-(including-foundation-year)/
UDPHOTGR,BA Photography,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPHOTGR/BA-Photography/
UDPHOTOJ,BA (Hons) Photojournalism,Undergraduate,,
UDPHTGRY,BA (Hons) Photography (Top-up),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPHTGRY/BA-(Hons)-Photography-(Top-up)/
UDPOLTCS,BA Politics,Undergraduate,,
UDPOLTFY,BA (Hons) Politics (including foundation year),Undergraduate,,
UDPRFNDS,BA (Hons) Product and Furniture Design,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPRFNDS/BA-(Hons)-Product-and-Furniture-Design/
UDPRIEDU,Primary Education (two-year accelerated degree) BA (Hons),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPRIEDU/Primary-Education-(two-year-accelerated-degree)-BA-(Hons)/
UDPSPRFY,"BSc (Hons) Police Studies, Procedure and Investigation (includ...",Undergraduate,,
UDPSPRIN,"BSc Police Studies, Procedure and Investigation",Undergraduate,,
UDPSYCFY,BSc (Hons) Psychology (including foundation year),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPSYCFY/BSc-(Hons)-Psychology-(including-foundation-year)/
UDPSYCGY,BSc Psychology,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPSYCGY/BSc-Psychology/
UDPSYSCG,BSc Psychology and Sociology,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPSYSCG/BSc-Psychology-and-Sociology/
UDPUHEHP,BSc Public Health and Health Promotion (Top-up),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDPUHEHP/BSc-Public-Health-and-Health-Promotion-(Top-up)/
UDQSYCMG,BSc (Hons) Quantity Surveying and Commercial Management,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDQSYCMG/BSc-(Hons)-Quantity-Surveying-and-Commercial-Management/
UDSCLOFY,BSc (Hons) Sociology (including foundation year),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSCLOFY/BSc-(Hons)-Sociology-(including-foundation-year)/
UDSCLOGY,BSc Sociology,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSCLOGY/BSc-Sociology/
UDSFWENG,BEng Software Engineering (Top-up),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSFWENG/BEng-Software-Engineering-(Top-up)/
UDSOCWOR,BSc Social Work,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSOCWOR/BSc-Social-Work/
UDSOSHFY,BA (Hons) Social Sciences and Humanities (including foundation...,Undergraduate,,
UDSOWKFY,BSc (Hons) Social Work (including foundation year),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSOWKFY/BSc-(Hons)-Social-Work-(including-foundation-year)/
UDSPEXFY,BSc Sport and Exercise Science (including foundation year),Undergraduate,,
UDSPEXSC,BSc Sport and Exercise Science,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSPEXSC/BSc-Sport-and-Exercise-Science/
UDSPOTFY,BSc (Hons) Sports Therapy (including foundation year),Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSPOTFY/BSc-(Hons)-Sports-Therapy-(including-foundation-year)/
UDSPOTHE,BSc Sports Therapy,Undergraduate,,/course-catalogue/course-specifications/2023-24/UDSPOTHE/BSc-Sports-Therapy/
UDSPPCFY,"BSc (Hons) Sport Psychology, Coaching and Physical Education (...",Undergraduate,,
